connector,status_message,link_name
96,दिल टूटा है? प्यार ढूंढ रहे हैं? ऐसे समय में आपका स्मार्टफोन या लैपटॉप आपके काम आ सकता है। जानें ऐसे ऐप और वेबसाइट्स के बारे में...,दिल टूटा है तो ये ऐप कर सकते हैं मदद
97,पद्मावती के डायरेक्टर संजय लीला भंसाली अपनी फिल्म पर कुछ राज्यों में लगे बैन हटवाने के लिए मुख्यमंत्रियों से नहीं मिलेंगे? जानें क्या है मामला...,पद्मावती विवाद: भंसाली नहीं मिलेंगे बैन हटाने के लिए मुख्यमंत्रियों से?
98,"अफशां आशिक जहां असंतुष्ट छात्रा के रूप में श्रीनगर की गलियों में पुलिस पर पत्थर फेंकने वाली लड़कियों के गुट की अगुवाई करती थीं। आज उनकी कहानी मिसाल है, पढ़ें...",पत्थरबाज महिला बनी J&K फुटबॉल टीम की कप्तान
99,हिमाचल प्रदेश: कुल्लू जिले के एक गांव के 9 घरों में लगी आग,हिमाचल प्रदेश: कुल्लू जिले के एक गांव के 9 घरों में लगी आग
100,"सोशल पर एक विडियो काफी चल रहा, जिसमें वरुण धवन के साथ माधुरी दीक्षित डांस कर रही हैं। यह विडियो देख आप भी झूमने लगेंगे।",देखें: 'तम्मा तम्मा' सॉन्ग पर वरुण-माधुरी ने लगाई आग
101,मोदी सर​कार ने एक तीर से दो शिकार वाला फैसला लिया है...,"जॉब पर फोकस, इस सेक्टर को 8450 करोड़ देने का ऐलान"
102,"रेस्ट्रॉन्ट्स पर जीएसटी दर घटाने के बावजूद पिछले एक हफ्ते में मैकडॉनल्ड्स (नॉर्थ और ईस्ट में), बर्गर किंग, पिज्जा हट ने दाम बढा दिए।",टैक्स कट के बाद भी मैकडॉनल्ड्स-पिज्जा हट ने बढ़ाए दाम
103,"जर्मनी: आमने-सामने भिड़ी दो ट्रेनें, 50 लोग घायल","जर्मनी: आमने-सामने भिड़ी दो ट्रेनें, 50 लोग घायल"
104,"बहुत खतरनाक है यह खबर, जरूर पढ़ें और जागरूकता बढ़ाएं...",खतरा: जहरीली हवा का बच्चों के दिमाग पर असर
105,बांग्लादेश और म्यांमार से रोहिंग्या को भारत में घुसपैठ कराने के लिए एक नेटवर्क सक्रिय है। पढ़ें यह स्पेशल रिपोर्ट...,फर्जी ID से रोहिंग्या को 'भारतीय' बना रहे दलाल
106,बाबरी मस्जिद के विध्वंस की 25वीं बरसी पर बुधवार शाम पश्चिमी यूपी के कई शहरों में मस्जिद के पुनर्निर्माण के लिए पोस्टर दिखे।,UP में 'बाबरी मस्जिद बनाओ' के पोस्टर
107,"राशि के अनुसार जानें कौन सा रत्न धारण करना आपके लिए रहेगा अशुभ

via NBT Religion","जानें, आपके लिए कौन सा रत्न हो सकता है अशुभ"
108,"मुंबई में ओखी का असर, समुद्र में लहरें हुई ऊंची","मुंबई में ओखी का असर, समुद्र में लहरें हुई ऊंची"
109,ग्रेटर नोएडा वेस्ट के गौड़ सिटी 2 के 11वें ऐवेन्यू में मां और बेटी की बेरहमी से बैट से पीट-पीटकर हत्या कर दी गई है।,"नोएडा: बैट से पीट-पीटकर मां-बेटी की ह्त्या, बेटा गायब"
110,"आपके लिए बहुत काम की हैं ये सारी टिप्स, क्लिक करें और जानें...","ठंड में अपना रखें ऐसे ख्यान, नहीं पड़ेंगे बीमार"
111,#indvssl के बीच चल रहे तीसरे टेस्ट की सभी अपडेट्स और LIVE स्कोरकार्ड देखें...,Live स्कोरकार्ड: तीसरे टेस्ट की पल-पल की अपडेट्स
112,ऐसे ही मजेदार जोक्स के लिए क्लिक करें...🤣😂😜 http://nbt.in/ahxDoY,
113,"दिल्ली के गोविंदपुरी इलाके में शख्स से लूट, वारदात CCTV में कैद","दिल्ली के गोविंदपुरी इलाके में शख्स से लूट, वारदात CCTV में कैद"
114,देखें Abhishek Bachchan ने इस यूजर को दिया कितना मजेदार जवाब...,"ट्विटर यूज़र ने अभिषेक से पूछा, आराध्या स्कूल नहीं जाती?"
115,"इन 5 चीजों का दान किसी को ना दें, इससे पुण्य की प्राप्ति नहीं बल्कि पाप का भागी बनना पड़ता है...

via NBT Religion","दान करने से मिलता है पुण्‍य, मगर भूलकर भी ये चीजें न दें दान में"
116,दिल्ली में सोमवार को हुई मंत्री समूह की मीटिंग में मिली फटकार के बाद ग्रेटर नोएडा अथॉरिटी में 31 दिसंबर तक फ्लैटों के पजेशन की संख्या को और अधिक बढ़ाने पर काम शुरू हो गया है।,"नोएडा: बिल्डर्स पर नकेल, 8 बिल्डर अथॉरिटी में तलब"
117,"#ElectionWithTimes गुजरात चुनाव: देखें, पाटीदारों से मतभेद के बाद कैसे राजनीतिक समीकरण बनाएगी BJP","गुजरात चुनाव: देखें, पाटीदारों से मतभेद के बाद कैसे राजनीतिक स..."
118,उत्तर प्रदेश निकाय चुनाव में बीजेपी को भले ही बड़ी जीत मिली हो लेकिन कई सीट्स ऐसी हैं जहां बीजेपी के उम्मीदवार जमानत भी नहीं बचा पाए।,UP निकाय चुनावः बीजेपी के आधे उम्मीदवारों की जमानत जब्त
119,इस आंदोलन को संघ परिवार ने आगे बढ़ाया था। बीजेपी और वीएचपी के तमाम दिग्गज नेता इस पूरे आंदोलन के अगुवा थे।,बाबरी मस्जिद विध्वंस: उस एक दिन ने बदल दी थी भारत की राजनीति
120,"बुधवार का दिन भविष्य के गर्भ में आपके लिए क्या छिपाकर लाया है, क्लिक करें और जानें...",राशिफल: 06 दिसंबर 2017: जानें कैसा बीतेगा बुधवार का दिन
121,"आज सितारों की चाल का आपकी राशि पर कैसा असर रहेगा, जानिए क्या कहते हैं मशहूर ऐस्ट्रॉलजर बेजन दारूवाला

Via NBT Religion",राशिफलः 6 दिसंबर 2017 बुधवार
122,"NBT मनोरंजन मसाला
* ये हैं बॉलीवुड की ताज़ातरीन खबरें...",NBT मनोरंजन मसाला * ये हैं बॉलीवुड की ताज़ातरीन खबरें...
123,ओखी चक्रवात कमजोर पड़ता जा रहा है और संभव है कि पहले की आशंकाओं के विपरीत यह सूरत के पास गुजरात के तट तक न पहुंचे।,"कमजोर पड़ा ओखी, गुजरात नहीं पहुंचेगा: मौसम विभाग"
124,पिछले कुछ सालों से अयोध्या विवाद मुख्यधारा की राजनीति से दूर होता जा रहा था। पिछले एक साल के अंदर यह मुद्दा देश की राजनीति के सेंटर में आ चुका है।,2019 चुनाव के केंद्र में फिर लौट रहा है राम मंदिर?
